,total_length,total_length,total_length,total_length,total_length,total_length,total_length,total_length,number,number,number,number,number,number,number,number,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,mean_length,longest,longest,longest,longest,longest,longest,longest,longest,shortest,shortest,shortest,shortest,shortest,shortest,shortest,shortest,N_count,N_count,N_count,N_count,N_count,N_count,N_count,N_count,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,Gaps,N50,N50,N50,N50,N50,N50,N50,N50,N50n,N50n,N50n,N50n,N50n,N50n,N50n,N50n,N70,N70,N70,N70,N70,N70,N70,N70,N70n,N70n,N70n,N70n,N70n,N70n,N70n,N70n,N90,N90,N90,N90,N90,N90,N90,N90,N90n,N90n,N90n,N90n,N90n,N90n,N90n,N90n
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
lsolanacearum,8.0,1253039.125,44724.280824490146,1202397.0,1209585.0,1251701.0,1291013.5,1312416.0,8.0,24.75,32.73595664010534,1.0,5.0,11.0,29.5,99.0,8.0,264655.71499999997,412979.6316970339,12164.21,45266.94,126605.685,252389.4,1258278.0,8.0,550211.75,426183.5448113038,71292.0,195803.0,514503.0,843404.5,1258278.0,8.0,164764.625,441977.67514464783,520.0,1103.25,5570.5,18235.75,1258278.0,8.0,0.5,1.0690449676496976,0.0,0.0,0.0,0.25,3.0,8.0,0.5,1.0690449676496976,0.0,0.0,0.0,0.25,3.0,8.0,503893.125,467184.61067928333,23328.0,101761.75,434851.0,843404.5,1258278.0,8.0,4.25,4.978525312350464,1.0,1.0,2.0,5.0,15.0,8.0,266592.375,409602.80650473275,17318.0,73803.5,143363.0,184398.25,1258278.0,8.0,7.375,8.830749846821778,1.0,2.0,3.5,8.5,27.0,8.0,209456.125,425265.0861412167,8634.0,37599.25,66267.0,100212.0,1258278.0,8.0,12.25,15.257316745932565,1.0,3.75,6.0,13.25,47.0
magalactiae,6.0,907404.1666666666,55237.45994310986,853960.0,871804.0,897122.0,918896.25,1006702.0,6.0,8.666666666666666,9.003702941938204,1.0,1.0,6.5,14.25,22.0,6.0,488024.9016666667,473635.9180476906,41799.68,63631.1325,470544.665,875560.0,1006702.0,6.0,608360.1666666666,352120.6593839201,176198.0,324122.25,650763.5,875560.0,1006702.0,6.0,460061.6666666667,504022.6996263826,516.0,2732.5,436571.5,875560.0,1006702.0,6.0,33.333333333333336,51.63977794943222,0.0,0.0,0.0,75.0,100.0,6.0,0.6666666666666666,1.0327955589886446,0.0,0.0,0.0,1.5,2.0,6.0,539500.8333333334,417592.48741634074,148449.0,162399.5,523431.0,875560.0,1006702.0,6.0,1.6666666666666667,0.816496580927726,1.0,1.0,1.5,2.0,3.0,6.0,509963.5,450859.3677881164,70404.0,95329.75,516116.5,875560.0,1006702.0,6.0,2.5,1.760681686165901,1.0,1.0,2.0,3.75,5.0,6.0,481659.3333333333,480694.83954445226,31071.0,42821.75,470755.5,875560.0,1006702.0,6.0,3.8333333333333335,3.488074922742725,1.0,1.0,2.5,6.25,9.0
manserisalpingitidis,3.0,929296.6666666666,26420.063253772376,908787.0,914390.0,919993.0,939551.5,959110.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,929296.6666666666,26420.063253772376,908787.0,914390.0,919993.0,939551.5,959110.0,3.0,929296.6666666666,26420.063253772376,908787.0,914390.0,919993.0,939551.5,959110.0,3.0,929296.6666666666,26420.063253772376,908787.0,914390.0,919993.0,939551.5,959110.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,929296.6666666666,26420.063253772376,908787.0,914390.0,919993.0,939551.5,959110.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,929296.6666666666,26420.063253772376,908787.0,914390.0,919993.0,939551.5,959110.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,929296.6666666666,26420.063253772376,908787.0,914390.0,919993.0,939551.5,959110.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
mcanis,14.0,2243389.214285714,107777.95242297476,2132516.0,2154320.5,2195958.0,2361404.25,2400961.0,14.0,32.07142857142857,33.69424576692878,1.0,2.25,21.0,62.75,89.0,14.0,715919.3557142857,912941.0408850581,24187.28,35790.7475,265855.385,1083345.7075,2363414.0,14.0,1615040.5,747477.872379948,605081.0,875273.25,1748449.5,2336830.5,2387408.0,14.0,488765.0714285714,967672.0654673069,201.0,220.0,848.5,11456.5,2363414.0,14.0,0.07142857142857142,0.26726124191242434,0.0,0.0,0.0,0.0,1.0,14.0,0.07142857142857142,0.26726124191242434,0.0,0.0,0.0,0.0,1.0,14.0,1484753.2857142857,904892.8694139543,353259.0,457617.0,1748449.5,2336830.5,2387408.0,14.0,1.3571428571428572,0.4972451580988468,1.0,1.0,1.0,2.0,2.0,14.0,1331152.2857142857,1027930.7634511659,156783.0,393774.25,1318429.0,2336830.5,2387408.0,14.0,1.9285714285714286,1.071611705960535,1.0,1.0,1.5,3.0,4.0,14.0,1210596.7857142857,1151247.9308559825,72157.0,83471.5,1190116.5,2336830.5,2387408.0,14.0,3.5714285714285716,2.7655653397364617,1.0,1.0,3.0,6.0,8.0
mcaseolyticus,47.0,2201341.489361702,73176.40712714671,2015020.0,2169628.5,2195272.0,2245110.5,2336487.0,47.0,76.1063829787234,50.97494441754574,1.0,62.0,74.0,88.5,353.0,47.0,164893.14489361702,476050.24510209245,6610.52,24999.91,30094.74,34400.83500000001,2275603.0,47.0,501213.78723404254,586077.1897317139,134556.0,225506.0,274431.0,416350.5,2275603.0,47.0,97092.3829787234,452913.8411770165,200.0,202.5,225.0,261.0,2275603.0,47.0,30.46808510638298,137.57683245685723,0.0,0.0,0.0,0.0,849.0,47.0,0.723404255319149,3.499702643639105,0.0,0.0,0.0,0.0,22.0,47.0,335125.5319148936,636155.8608784435,57733.0,86577.0,105756.0,163392.0,2275603.0,47.0,6.595744680851064,3.033577128451586,1.0,4.5,7.0,8.0,14.0,47.0,289648.9574468085,650628.3248576603,36355.0,52640.0,67807.0,86686.5,2275603.0,47.0,11.553191489361701,5.420606859328967,1.0,9.0,12.0,15.0,24.0,47.0,252670.63829787233,663170.6220831148,1450.0,19545.5,27626.0,33881.0,2275603.0,47.0,22.148936170212767,11.121813121273565,1.0,18.0,22.0,27.5,57.0
mcatarrhalis,204.0,1923002.5098039217,72035.96778932543,1776416.0,1879617.75,1910309.0,1953165.5,2257840.0,204.0,56.23529411764706,134.80536426965236,1.0,25.75,38.0,52.0,1820.0,204.0,203591.20549019604,492369.1730231653,1240.57,37008.765,49899.61,75752.735,2045324.0,204.0,491708.0343137255,459725.10264845955,66451.0,279108.5,363998.5,449277.75,2201718.0,204.0,143545.01960784313,496535.3820139145,200.0,301.0,502.5,643.5,2045324.0,204.0,81.83823529411765,260.9016731699517,0.0,0.0,0.0,1.0,1859.0,204.0,1.2598039215686274,2.9455070504115173,0.0,0.0,0.0,1.0,19.0,204.0,351864.2254901961,499758.8037642656,16796.0,132988.25,181987.0,310982.5,2201718.0,204.0,4.990196078431373,4.307160032732793,1.0,3.0,4.0,5.0,35.0,204.0,279092.5882352941,502111.4955736121,10870.0,78479.25,134168.5,189564.25,2201718.0,204.0,8.450980392156863,7.920326722350296,1.0,5.0,6.5,9.0,63.0,204.0,214296.5980392157,517855.602743052,230.0,27775.5,50796.5,93483.75,2201718.0,204.0,18.514705882352942,54.79846442970783,1.0,8.0,11.0,16.0,770.0
mflocculare,8.0,760920.25,14451.31781188138,733720.0,755578.0,761051.0,768659.0,778866.0,8.0,29.125,19.08954463274895,1.0,21.5,29.5,32.5,67.0,8.0,121548.98999999999,265884.33664430137,11428.19,23005.1375,25736.29,37172.18,778866.0,8.0,354889.625,184255.82312250967,192772.0,263650.5,318665.0,352731.25,778866.0,8.0,97613.625,275267.5796025893,210.0,217.5,231.5,351.5,778866.0,8.0,261.75,196.01002160968343,0.0,150.25,255.5,419.0,494.0,8.0,3.25,1.6690459207925603,0.0,2.75,3.5,4.25,5.0,8.0,224138.75,248758.34304271513,67566.0,81273.5,125828.0,199552.0,778866.0,8.0,2.0,0.7559289460184544,1.0,1.75,2.0,2.25,3.0,8.0,156363.625,252986.91742964412,48672.0,49370.0,59505.0,89920.75,778866.0,8.0,3.75,1.5811388300841898,1.0,3.5,4.0,4.25,6.0,8.0,117062.125,267551.3086400105,16271.0,17083.75,17696.5,35132.5,778866.0,8.0,7.125,2.748376143938713,1.0,6.75,8.0,8.25,10.0
mgallisepticum#1,28.0,965126.25,26063.04799637048,920684.0,943616.0,963584.0,982414.25,1012800.0,28.0,23.607142857142858,36.85742227448328,1.0,1.0,1.0,41.25,95.0,28.0,667787.3417857143,455752.0947777137,9873.98,25016.275,963584.0,982414.25,1012800.0,28.0,701458.2857142857,407283.92680580926,78004.0,164230.0,963584.0,982414.25,1012800.0,28.0,662012.3928571428,464211.2162061368,205.0,229.25,963584.0,982414.25,1012800.0,28.0,36.214285714285715,191.43209939100782,0.0,0.0,0.0,0.0,1013.0,28.0,0.07142857142857142,0.262265264156481,0.0,0.0,0.0,0.0,1.0,28.0,682143.0714285715,436248.9172930152,29337.0,51878.0,963584.0,982414.25,1012800.0,28.0,3.107142857142857,3.562555114212122,1.0,1.0,1.0,5.0,11.0,28.0,675336.5,445310.49026090483,19095.0,36940.25,963584.0,982414.25,1012800.0,28.0,4.892857142857143,6.419526264477581,1.0,1.0,1.0,10.0,19.0,28.0,666204.9285714285,458090.92120774195,4632.0,16844.75,963584.0,982414.25,1012800.0,28.0,8.5,12.294232312273433,1.0,1.0,1.0,16.75,35.0
mhaemolytica,191.0,2621539.9109947644,89244.92004193873,2245561.0,2576885.5,2631542.0,2683144.0,2833415.0,191.0,62.424083769633505,63.18238633697726,1.0,1.0,68.0,115.5,297.0,191.0,1210165.1927748693,1297446.1989835484,8467.78,22633.614999999998,39145.26,2599761.5,2819195.0,191.0,1366868.9057591623,1196410.4382470052,113915.0,238623.5,336760.0,2615527.0,2819195.0,191.0,1177513.5130890051,1318573.5276173218,200.0,233.0,1049.0,2599761.5,2819195.0,191.0,712.8010471204188,7544.112278159212,0.0,0.0,0.0,302.5,104357.0,191.0,1.9947643979057592,6.23445214087261,0.0,0.0,0.0,2.0,52.0,191.0,1272147.612565445,1283478.6469500142,31954.0,77585.5,102046.0,2615527.0,2819195.0,191.0,6.633507853403142,5.793983063097812,1.0,1.0,8.0,11.0,23.0,191.0,1254221.785340314,1300178.5521781154,18278.0,43718.0,71399.0,2615527.0,2819195.0,191.0,11.743455497382199,10.936763044494937,1.0,1.0,14.0,20.0,45.0,191.0,1239567.2356020943,1313855.5698186767,4592.0,16038.5,23836.0,2615527.0,2819195.0,191.0,22.56544502617801,21.663324808869795,1.0,1.0,27.0,39.0,82.0
mhyopneumoniae,22.0,905092.9090909091,23349.9979135496,867508.0,893314.25,899905.0,918894.5,960532.0,22.0,34.27272727272727,36.48506781082054,1.0,1.0,12.0,67.75,102.0,22.0,398800.40090909094,441627.11487866694,8836.42,13176.824999999999,112985.91,898222.5,956514.0,22.0,464176.04545454547,403444.52568924136,71844.0,83317.5,245699.5,898222.5,956514.0,22.0,374860.7272727273,459309.46229988313,200.0,213.0,4485.0,898222.5,956514.0,22.0,881.9090909090909,2727.0367121542813,0.0,0.0,129.0,274.25,12605.0,22.0,10.272727272727273,37.988948039662446,0.0,0.0,2.0,3.75,180.0,22.0,434845.6818181818,429196.33824996644,26967.0,37366.75,170137.5,898222.5,956514.0,22.0,4.863636363636363,4.120742588480804,1.0,1.0,3.0,9.0,11.0,22.0,408783.9090909091,434365.5059480611,18137.0,23253.5,134027.5,898222.5,956514.0,22.0,7.7727272727272725,7.164275247841879,1.0,1.0,4.0,14.75,19.0,22.0,397518.5,443787.01730390894,7217.0,10327.25,76046.0,898222.5,956514.0,22.0,13.636363636363637,13.322181483545384,1.0,1.0,7.5,26.0,35.0
mhyorhinis,91.0,827505.2637362637,17750.47225777711,797945.0,815837.5,824878.0,836144.0,934840.0,91.0,65.27472527472527,35.9638911298745,1.0,49.0,63.0,81.0,286.0,91.0,68059.01945054944,205362.82448011244,2790.02,10100.475,13081.21,16846.795,839615.0,91.0,131854.38461538462,190848.1536859878,18702.0,62593.0,80280.0,108713.5,839615.0,91.0,55672.81318681319,208583.67411978618,200.0,515.0,532.0,588.0,839615.0,91.0,35.31868131868132,241.23487306039317,0.0,0.0,0.0,0.0,2265.0,91.0,0.23076923076923078,0.7314661544068426,0.0,0.0,0.0,0.0,5.0,91.0,85183.27472527472,201158.9859611914,6094.0,27069.0,31886.0,37807.5,839615.0,91.0,9.659340659340659,5.027081725171243,1.0,8.0,9.0,11.0,42.0,91.0,74593.17582417582,203721.7514034819,3257.0,15149.0,20200.0,26333.0,839615.0,91.0,16.582417582417584,9.268903727657134,1.0,13.0,16.0,19.5,78.0,91.0,63312.67032967033,206580.97912344502,1415.0,6104.0,9584.0,10548.0,839615.0,91.0,29.747252747252748,17.570552009663725,1.0,23.0,28.0,36.5,150.0
miowae,4.0,1243328.0,63966.66462567306,1184115.0,1192389.0,1236860.5,1287799.5,1315476.0,4.0,40.25,45.98097432634502,1.0,1.0,35.5,74.75,89.0,4.0,656107.0475,740223.2249665654,13304.66,16131.3125,647823.765,1287799.5,1315476.0,4.0,681697.25,710696.6998203828,60223.0,69442.75,675545.0,1287799.5,1315476.0,4.0,648703.75,748768.476186676,239.0,454.25,639550.0,1287799.5,1315476.0,4.0,1.25,1.8929694486000912,0.0,0.0,0.5,1.75,4.0,4.0,1.25,1.8929694486000912,0.0,0.0,0.5,1.75,4.0,4.0,663237.5,731996.6614666581,25572.0,31389.0,655951.0,1287799.5,1315476.0,4.0,7.25,7.22841614740048,1.0,1.0,7.0,13.25,14.0,4.0,657465.5,738654.5357867461,16282.0,18718.0,649052.0,1287799.5,1315476.0,4.0,12.5,13.379088160259652,1.0,1.0,11.5,23.0,26.0,4.0,652285.75,744633.2868996098,7039.0,7800.25,643314.0,1287799.5,1315476.0,4.0,22.75,25.38208029299411,1.0,1.0,20.5,42.25,49.0
mplutonius,19.0,2063692.7368421052,20535.675685775353,2021336.0,2046725.5,2067831.0,2075623.5,2101145.0,19.0,8.105263157894736,5.258799364896318,2.0,2.5,9.0,12.0,17.0,19.0,468302.05263157893,382816.9942812086,119990.18,173300.64,230658.78,860610.585,1037870.0,19.0,1152071.0526315789,591752.2320316046,560208.0,623846.0,857306.0,1869053.5,1898117.0,19.0,53863.73684210526,79261.67614991225,549.0,1912.5,5163.0,105555.5,199075.0,19.0,101.05263157894737,255.4713451390087,0.0,0.0,0.0,0.5,800.0,19.0,0.2631578947368421,0.4524139283588641,0.0,0.0,0.0,0.5,1.0,19.0,999621.7894736842,717909.0806206729,206836.0,404872.5,560566.0,1869053.5,1898117.0,19.0,1.736842105263158,0.7334928056269079,1.0,1.0,2.0,2.0,3.0,19.0,875231.1578947369,793367.8998127934,170102.0,246364.5,403696.0,1869053.5,1898117.0,19.0,2.5789473684210527,1.3870748387117167,1.0,1.0,3.0,4.0,5.0,19.0,683686.8947368421,840464.4225609828,60977.0,122692.0,165331.0,1868239.0,1898117.0,19.0,4.105263157894737,2.492092758263519,1.0,1.0,5.0,6.0,8.0
mpneumoniae,175.0,814808.08,14128.090281193818,777576.0,812329.5,816465.0,817211.5,935689.0,175.0,25.13714285714286,39.47345307338776,1.0,1.0,10.0,34.5,307.0,175.0,395308.03571428574,385681.988174499,3047.85,23677.805,82077.3,816504.5,857799.0,175.0,495074.1257142857,314046.80879054376,33282.0,191338.0,388191.0,816508.0,857799.0,175.0,367825.9428571428,404487.91441715154,49.0,303.0,2403.0,816504.5,857799.0,175.0,46.354285714285716,171.37476635103525,0.0,0.0,0.0,0.0,1176.0,175.0,1.88,6.569032189603425,0.0,0.0,0.0,0.0,39.0,175.0,440557.5028571429,361834.89848621195,16541.0,87481.5,254018.0,816508.0,857799.0,175.0,2.742857142857143,2.5386988379521065,1.0,1.0,2.0,3.5,18.0,175.0,421372.17142857146,376364.66805389064,8038.0,53666.5,188652.0,816508.0,857799.0,175.0,4.32,4.718562025258001,1.0,1.0,2.0,6.0,32.0,175.0,398859.32,393572.41823806596,642.0,23677.0,55021.0,816508.0,857799.0,175.0,8.08,11.332204135767794,1.0,1.0,4.0,10.0,82.0
msciuri,106.0,2813834.4150943398,109689.79841420925,2523019.0,2743834.25,2817592.0,2881112.75,3161407.0,106.0,102.0754716981132,128.1436469348964,1.0,23.25,51.0,162.25,812.0,106.0,304676.54622641514,684483.1586522282,3893.36,17105.975,54572.08500000001,121983.4325,2932999.0,106.0,853001.6603773584,888006.6643512674,49914.0,170076.5,587349.0,1000657.75,3047561.0,106.0,160749.77358490566,648782.8549005149,200.0,213.0,344.0,1251.25,2932999.0,106.0,7149.443396226415,40958.697030540694,0.0,0.0,0.0,501.25,302551.0,106.0,17.69811320754717,70.52377779516173,0.0,0.0,0.0,12.75,491.0,106.0,643748.1603773584,934741.9479950514,7684.0,49273.5,287260.5,599823.0,3047561.0,106.0,11.056603773584905,14.554874940935472,1.0,2.0,4.0,18.0,91.0,106.0,541011.2264150943,937327.3930974505,4726.0,29865.75,169594.5,382494.25,3047561.0,106.0,20.10377358490566,27.3272685183144,1.0,3.25,6.0,34.0,173.0,106.0,455751.1886792453,961609.0763464381,745.0,12879.75,68705.5,142293.25,3047561.0,106.0,38.632075471698116,53.741768002479645,1.0,6.0,11.0,63.25,326.0
msynoviae,10.0,800512.7,40344.81938944165,736709.0,774561.0,816008.5,818834.75,848181.0,10.0,8.5,15.89723945288056,1.0,1.0,1.0,1.0,42.0,10.0,656870.44,336801.82943949965,17540.69,774561.0,816008.5,818834.75,848181.0,10.0,679479.2,289266.3181982229,131599.0,774561.0,816008.5,818834.75,848181.0,10.0,653165.5,344593.8038906581,514.0,774561.0,816008.5,818834.75,848181.0,10.0,0.2,0.6324555320336759,0.0,0.0,0.0,0.0,2.0,10.0,0.2,0.6324555320336759,0.0,0.0,0.0,0.0,2.0,10.0,662965.6,323985.95773520804,46418.0,774561.0,816008.5,818834.75,848181.0,10.0,1.7,1.4944341180973262,1.0,1.0,1.0,1.0,5.0,10.0,659372.0,331539.544533613,31333.0,774561.0,816008.5,818834.75,848181.0,10.0,2.5,3.1710495984067415,1.0,1.0,1.0,1.0,9.0,10.0,655002.3,340732.17268048914,7482.0,774561.0,816008.5,818834.75,848181.0,10.0,4.3,6.992853494818835,1.0,1.0,1.0,1.0,19.0
orhinotracheale,7.0,2365678.714285714,61462.58044456612,2253590.0,2336057.5,2397867.0,2406938.0,2422303.0,7.0,28.0,32.85320887422313,1.0,1.0,8.0,54.5,76.0,7.0,1066060.4000000001,1205424.3769095936,31772.38,45069.58500000001,289879.25,2325728.5,2399175.0,7.0,1280729.2857142857,1014582.7385700183,250831.0,443452.0,776738.0,2325728.5,2399175.0,7.0,1009145.4285714285,1255389.3714460144,213.0,233.5,12706.0,2325728.5,2399175.0,7.0,0.14285714285714285,0.3779644730092273,0.0,0.0,0.0,0.0,1.0,7.0,0.14285714285714285,0.3779644730092273,0.0,0.0,0.0,0.0,1.0,7.0,1175421.5714285714,1109555.203318858,114801.0,249394.5,563729.0,2325728.5,2399175.0,7.0,2.857142857142857,2.3401261667248785,1.0,1.0,2.0,4.0,7.0,7.0,1102069.857142857,1172180.2023303169,89618.0,106493.5,361252.0,2325728.5,2399175.0,7.0,4.714285714285714,4.423960733486292,1.0,1.0,3.0,7.5,12.0,7.0,1041551.1428571428,1225983.4591039459,21655.0,29842.5,158886.0,2325728.5,2399175.0,7.0,8.714285714285714,8.976158898517147,1.0,1.0,5.0,15.0,23.0
otsutsugamushi,17.0,1979055.1764705882,335381.30402018444,1295323.0,1932116.0,2026724.0,2127051.0,2469803.0,17.0,103.6470588235294,158.31256313716491,1.0,1.0,8.0,137.0,485.0,17.0,1046713.3994117647,1104239.2070494376,2865.76,10791.55,261174.5,2078193.0,2469803.0,17.0,1109275.0,1051410.9242528584,29676.0,96442.0,625072.0,2078193.0,2469803.0,17.0,1030435.8823529412,1118553.0481725533,296.0,2277.0,95937.0,2078193.0,2469803.0,17.0,2.0588235294117645,6.388178420286315,0.0,0.0,0.0,0.0,25.0,17.0,1.7647058823529411,5.285941398709243,0.0,0.0,0.0,0.0,20.0,17.0,1051132.294117647,1100140.525934685,7476.0,19979.0,277544.0,2078193.0,2469803.0,17.0,16.41176470588235,21.71134157396029,1.0,1.0,3.0,22.0,67.0,17.0,1043365.7058823529,1107064.9671774441,3083.0,10882.0,228605.0,2078193.0,2469803.0,17.0,32.11764705882353,43.384735727184584,1.0,1.0,4.0,42.0,117.0,17.0,1033419.8823529412,1115766.312196795,958.0,4783.0,116060.0,2078193.0,2469803.0,17.0,63.8235294117647,90.67816391924082,1.0,1.0,7.0,83.0,258.0
pacnes,284.0,2508389.7852112674,44986.27011164566,2107664.0,2479017.0,2505012.0,2536615.5,2763484.0,284.0,17.795774647887324,28.130824794841743,1.0,6.0,11.0,17.0,260.0,284.0,465297.21904929576,684819.540576813,10008.52,148880.08500000002,228253.91,414464.0025,2560634.0,284.0,986513.5211267605,564587.7944080944,101439.0,713458.25,888319.0,973028.0,2560634.0,284.0,259690.4823943662,732937.2824920879,200.0,712.0,2575.0,34120.0,2560634.0,284.0,202.0211267605634,544.8369804272915,0.0,0.0,0.0,22.5,5735.0,284.0,5.591549295774648,12.04711300963095,0.0,0.0,0.0,5.0,84.0,284.0,793381.5492957747,637037.9763279431,28723.0,471001.5,690137.5,767311.5,2560634.0,284.0,2.795774647887324,3.3993113673740645,1.0,2.0,2.0,2.0,28.0,284.0,571669.1091549295,689210.6976643712,18709.0,246454.5,290730.0,566254.5,2560634.0,284.0,4.475352112676056,6.14800592935471,1.0,3.0,3.0,4.0,48.0,284.0,422060.9401408451,718613.1523625477,7387.0,97228.0,183050.0,252809.0,2560634.0,284.0,7.623239436619718,11.114038907933567,1.0,4.0,5.0,7.0,86.0
pdamselae,50.0,4474855.76,285943.57207598473,3652050.0,4361137.75,4476142.5,4614171.75,5058754.0,50.0,118.74,137.32366206617598,2.0,8.5,100.5,137.75,641.0,50.0,342347.11100000003,536913.1962822931,6305.38,32150.230000000003,44163.16,536618.6875,2226231.5,50.0,1237013.1,1283255.2141204956,61240.0,259509.75,437440.5,2821858.25,3236779.0,50.0,44081.78,179501.99994955317,200.0,508.25,1026.0,11004.75,1230339.0,50.0,16683.86,117929.55956356978,0.0,0.0,0.0,0.0,833894.0,50.0,8.8,61.504935922713905,0.0,0.0,0.0,0.0,435.0,50.0,1061049.02,1383563.7205582839,12254.0,77147.5,128933.5,2821858.25,3236779.0,50.0,15.54,20.613261037794214,1.0,1.0,11.0,19.5,86.0,50.0,585392.8,904055.9870528157,7615.0,45218.25,83533.5,1103704.25,3222124.0,50.0,28.58,39.36801249953146,1.0,2.0,20.0,33.75,165.0,50.0,307580.14,480647.9751578564,3294.0,20899.5,34634.0,277269.5,1395825.0,50.0,52.8,75.78217980178589,2.0,3.25,37.0,60.0,321.0
pfluorescens,252.0,6371850.456349206,418551.8434464629,4854699.0,6068503.0,6349042.5,6641219.0,7815059.0,252.0,86.4484126984127,134.5610590142933,1.0,29.0,62.5,94.5,1437.0,252.0,1163577.404484127,2309899.1657138593,4649.49,67622.355,103550.1,211140.4325,7119102.0,252.0,1784853.6865079366,2230998.069412708,55442.0,497157.75,791173.5,1296956.5,7119102.0,252.0,987225.5793650794,2328032.9753576247,200.0,304.75,517.0,2088.5,7119102.0,252.0,4104.829365079365,30150.378617779726,0.0,0.0,77.0,494.0,442904.0,252.0,30.48015873015873,119.19819948360826,0.0,0.0,2.0,13.0,1597.0,252.0,1451601.5595238095,2372848.5437470917,7012.0,184690.5,326686.0,664194.0,7119102.0,252.0,10.214285714285714,19.014193542232295,1.0,4.0,7.0,11.0,250.0,252.0,1351135.619047619,2402661.0214157556,4492.0,120452.25,217225.0,462993.5,7119102.0,252.0,18.0515873015873,36.5111089008215,1.0,6.0,11.0,21.0,491.0,252.0,1223226.8452380951,2417756.660299759,2340.0,53561.5,101055.5,239921.0,7119102.0,252.0,32.1468253968254,66.27173228339443,1.0,10.0,20.0,36.0,890.0
pgingivalis,67.0,2334295.447761194,70735.80080927764,2216597.0,2279142.0,2334097.0,2374913.0,2482917.0,67.0,76.53731343283582,80.80003907106185,1.0,1.0,72.0,118.5,484.0,67.0,904603.5674626866,1150096.689919516,5121.75,19261.095,31483.44,2354399.0,2482917.0,67.0,1003916.4626865672,1074863.7949308984,64177.0,163369.5,228015.0,2354399.0,2482917.0,67.0,889692.8059701492,1161614.569701641,181.0,320.5,1040.0,2354399.0,2482917.0,67.0,1366.0746268656717,2913.6244080725555,0.0,0.0,0.0,1111.5,16821.0,67.0,13.119402985074627,22.198500077680446,0.0,0.0,0.0,28.0,76.0,67.0,923441.4179104478,1135626.5047647029,20260.0,41994.5,62616.0,2354399.0,2482917.0,67.0,10.507462686567164,9.039263067188003,1.0,1.0,11.0,17.0,36.0,67.0,911418.895522388,1144866.9509318294,13178.0,26955.0,45866.0,2354399.0,2482917.0,67.0,18.73134328358209,16.855519813053814,1.0,1.0,20.0,29.5,63.0,67.0,899746.671641791,1153848.9968440593,4690.0,13556.5,17688.0,2354399.0,2482917.0,67.0,33.88059701492537,31.381582317166256,1.0,1.0,37.0,54.0,116.0
plarvae,15.0,4399431.666666667,252437.506578691,4033192.0,4237028.5,4378174.0,4568061.5,4794868.0,15.0,76.2,134.5756292944603,1.0,2.5,3.0,73.5,362.0,15.0,1480530.9086666668,1373860.0471209264,11141.41,301278.665,1459391.33,1806543.835,4289950.0,15.0,3205093.4,1873545.5365881557,137518.0,1997831.0,4268596.0,4372197.0,4672437.0,15.0,597930.7333333333,1499133.9871619912,50.0,4292.0,36703.0,49409.5,4289950.0,15.0,3426.866666666667,13151.779601834805,0.0,0.0,0.0,0.0,50966.0,15.0,48.6,183.559955172301,0.0,0.0,0.0,0.0,712.0,15.0,3156757.0,1955470.6324526365,23516.0,1869703.5,4268596.0,4372197.0,4672437.0,15.0,8.6,14.231755237596564,1.0,1.0,1.0,10.5,47.0,15.0,3151332.8,1964693.8712708328,12928.0,1857663.0,4268596.0,4372197.0,4672437.0,15.0,15.8,28.2241031744146,1.0,1.0,1.0,17.0,94.0,15.0,2949262.466666667,2063446.514639243,6062.0,364678.5,4268596.0,4372197.0,4672437.0,15.0,31.6,57.5782697105179,1.0,1.0,1.0,30.5,184.0
